RM,Canola_mean,Canola_std,Cluster
1,21.947115384615383,7.48517131100236,1
2,23.67980769230769,7.005008149743932,2
3,22.66596153846154,6.732967547708195,2
4,21.255208333333332,7.415534869615427,1
5,20.949767441860466,8.602076573316497,1
6,20.846875,8.822575770039336,1
7,21.127142857142857,9.18093259668906,1
8,21.9534375,8.951444507461424,1
9,25.056666666666665,10.088322894491899,0
10,20.18259259259259,7.791772580293906,1
11,18.1821875,9.801992468412044,1
12,21.134999999999998,9.760808064605824,1
17,24.33695652173913,7.894537487046811,2
18,17.52,6.612476246101996,1
19,21.232916666666668,10.108258560364808,1
31,22.122,8.004473494138594,1
32,22.778846153846153,7.3401914421382655,2
33,23.830980392156864,7.468490143235635,2
34,23.056346153846157,7.405155869153298,2
35,21.919999999999998,8.40816542613984,1
36,21.674,8.13202490717466,1
37,18.985853658536584,7.933636296052948,1
38,21.478749999999998,8.967908079396935,1
39,24.672941176470587,9.71233908393253,2
40,20.45576923076923,8.389488743935198,1
42,22.476451612903226,10.030006164300895,2
43,18.216896551724137,6.86084288004255,1
44,21.090370370370373,8.98431174603027,1
45,17.3615,9.445091331647243,1
46,18.633,8.502156654507006,1
49,20.874864864864865,7.174576108896075,1
51,17.267307692307693,7.080173759275859,1
61,23.645185185185184,7.24249350908997,2
63,23.702592592592595,8.11246889930607,2
64,23.134423076923078,8.71202738914777,2
65,21.802075471698114,8.73557169950951,1
66,20.4326,9.03336870967293,1
67,20.938000000000002,8.443157355068598,1
68,18.477608695652176,8.9788995081141,1
69,23.196944444444444,7.34777899171655,2
70,25.079333333333334,7.252017523484036,2
71,24.7096875,8.916453614553484,2
72,24.25633333333333,10.018366059679948,2
73,25.833225806451615,9.09086845396587,0
74,20.279999999999998,8.86441821806866,1
75,22.579,9.704491086161052,2
76,21.265185185185185,11.44653503849372,1
77,24.292380952380952,10.667212805959156,0
78,22.55032258064516,8.883514501168616,2
79,22.923750000000002,7.988121208940059,2
91,24.192156862745097,8.679793848640761,2
92,24.80611111111111,9.059166610982192,2
93,24.553454545454546,8.84111171536908,2
94,23.557727272727274,9.31579400643883,2
95,22.844259259259257,8.911085019985121,2
96,23.3018,9.493179869823194,2
97,21.731190476190477,10.768213431178792,1
98,24.282432432432433,11.277527163297762,0
99,23.984571428571428,11.919721015008289,0
100,24.48157894736842,9.141353772330236,2
101,22.195,8.61198368338927,1
102,25.453823529411764,10.921088028465396,0
103,23.775384615384617,8.703452686374964,2
104,23.72941176470588,10.464608157304218,2
105,21.06257142857143,9.164906001525969,1
106,22.293666666666663,7.498092393417801,1
107,25.7984,11.906273794376924,0
108,23.440606060606058,8.669514814637097,2
109,24.057368421052633,8.774397548953656,2
110,18.88315789473684,9.179668992235916,1
111,27.746923076923075,10.763659886574182,0
121,24.925384615384612,9.062693072786,2
122,23.347692307692306,7.877167206400197,2
123,23.14037037037037,8.957439611213658,2
124,22.578301886792456,7.634059746609537,2
125,23.91867924528302,8.63727922744369,2
126,23.63423076923077,8.228973763514096,2
127,23.412075471698113,8.062826703813803,2
128,24.53612244897959,10.270360837609065,0
129,26.13657142857143,9.503045624138284,0
130,24.99,10.377351781644485,0
131,23.085897435897436,9.331108051184918,2
132,25.541875,11.248134789821822,0
133,23.443823529411766,10.008785236346535,2
134,20.897045454545456,8.522614671278708,1
135,22.315555555555555,9.925532283515635,1
